,bhk,type,area,price,price_unit,region,status
356,3,Apartment,1076,3.19,Cr,Andheri,Under Construction
357,3,Apartment,1076,3.19,Cr,Andheri,Under Construction
358,3,Apartment,1076,3.19,Cr,Andheri,Under Construction
359,2,Apartment,718,2.12,Cr,Andheri,Under Construction
360,3,Apartment,1076,3.19,Cr,Andheri,Under Construction
361,2,Apartment,758,2.24,Cr,Andheri,Under Construction
362,2,Apartment,718,2.12,Cr,Andheri,Under Construction
363,3,Apartment,991,2.94,Cr,Andheri,Under Construction
364,2,Apartment,758,2.24,Cr,Andheri,Under Construction
365,3,Apartment,991,2.94,Cr,Andheri,Under Construction
366,2,Apartment,618,1.82,Cr,Andheri,Under Construction
367,2,Apartment,618,1.82,Cr,Andheri,Under Construction
368,3,Apartment,1033,3.06,Cr,Andheri,Under Construction
369,3,Apartment,1033,3.06,Cr,Andheri,Under Construction
370,3,Apartment,913,2.7,Cr,Andheri,Under Construction
371,3,Apartment,913,2.7,Cr,Andheri,Under Construction
372,3,Apartment,866,2.57,Cr,Andheri,Under Construction
373,3,Apartment,866,2.57,Cr,Andheri,Under Construction
374,2,Apartment,562,1.7,Cr,Andheri,Under Construction
375,2,Apartment,562,1.7,Cr,Andheri,Under Construction
376,3,Apartment,948,2.81,Cr,Andheri,Under Construction
377,3,Apartment,948,2.81,Cr,Andheri,Under Construction
557,1,Studio Apartment,275,45,L,Andheri,Ready to move
630,2,Apartment,658,1.3,Cr,Andheri,Ready to move
734,2,Apartment,715,1.65,Cr,Andheri,Ready to move
735,2,Apartment,715,1.65,Cr,Andheri,Ready to move
736,2,Apartment,715,1.65,Cr,Andheri,Ready to move
737,2,Apartment,715,1.65,Cr,Andheri,Ready to move
738,2,Apartment,715,1.65,Cr,Andheri,Ready to move
739,2,Apartment,715,1.65,Cr,Andheri,Ready to move
745,2,Apartment,850,2.25,Cr,Andheri,Ready to move
751,2,Studio Apartment,421,92,L,Andheri,Ready to move
1457,3,Apartment,901,2.89,Cr,Andheri,Under Construction
1458,3,Apartment,901,2.89,Cr,Andheri,Under Construction
1459,3,Apartment,1011,3.19,Cr,Andheri,Under Construction
1460,3,Apartment,1011,3.19,Cr,Andheri,Under Construction
1461,3,Apartment,910,2.9,Cr,Andheri,Under Construction
1462,3,Apartment,910,2.9,Cr,Andheri,Under Construction
1463,2,Apartment,776,2.21,Cr,Andheri,Under Construction
1464,2,Apartment,776,2.21,Cr,Andheri,Under Construction
1465,3,Apartment,899,2.85,Cr,Andheri,Under Construction
1466,3,Apartment,899,2.85,Cr,Andheri,Under Construction
1918,2,Apartment,630,1.67,Cr,Andheri,Ready to move
1920,2,Apartment,630,1.67,Cr,Andheri,Ready to move
2744,3,Apartment,1350,2.85,Cr,Andheri,Ready to move
2745,2,Apartment,1250,2.55,Cr,Andheri,Ready to move
3579,1,Apartment,690,1.42,Cr,Andheri,Under Construction
